log_message,cpu,memory,disk,root_cause
CPU saturation detected on application server,88.55,49.57,34.2,CPU_OVERLOAD
High computational workload causing cpu spike,90.78,43.22,42.78,CPU_OVERLOAD
High computational workload causing cpu spike,95.91,35.64,33.84,CPU_OVERLOAD
CPU saturation detected on application server,84.67,48.47,24.85,CPU_OVERLOAD
Server cpu overloaded by parallel processing tasks,90.62,52.3,39.42,CPU_OVERLOAD
Kubernetes pod cpu throttling detected,93.32,64.34,51.36,CPU_OVERLOAD
Kubernetes pod cpu throttling detected,84.94,54.8,50.36,CPU_OVERLOAD
CPU usage reached 95 percent due to heavy workload,89.55,43.25,59.7,CPU_OVERLOAD
CPU usage reached 95 percent due to heavy workload,94.93,37.35,37.92,CPU_OVERLOAD
CPU saturation detected on application server,80.87,67.36,29.46,CPU_OVERLOAD
High computational workload causing cpu spike,89.72,37.32,59.75,CPU_OVERLOAD
CPU saturation detected on application server,80.33,41.11,43.61,CPU_OVERLOAD
Kubernetes pod cpu throttling detected,96.93,50.43,36.81,CPU_OVERLOAD
Kubernetes pod cpu throttling detected,93.53,52.48,25.68,CPU_OVERLOAD
CPU usage reached 95 percent due to heavy workload,90.61,65.13,46.42,CPU_OVERLOAD
CPU usage reached 95 percent due to heavy workload,88.59,68.91,24.58,CPU_OVERLOAD
Server cpu overloaded by parallel processing tasks,94.27,48.43,32.63,CPU_OVERLOAD
Server cpu overloaded by parallel processing tasks,87.5,44.71,27.34,CPU_OVERLOAD
CPU saturation detected on application server,88.32,66.29,20.82,CPU_OVERLOAD
CPU usage reached 95 percent due to heavy workload,82.28,47.51,37.27,CPU_OVERLOAD
Kubernetes pod cpu throttling detected,83.61,48.75,30.4,CPU_OVERLOAD
Server cpu overloaded by parallel processing tasks,97.88,37.96,23.44,CPU_OVERLOAD
Kubernetes pod cpu throttling detected,97.35,37.55,24.55,CPU_OVERLOAD
CPU usage reached 95 percent due to heavy workload,98.03,57.86,38.17,CPU_OVERLOAD
Server cpu overloaded by parallel processing tasks,90.08,54.59,50.01,CPU_OVERLOAD
Server cpu overloaded by parallel processing tasks,92.89,60.62,43.48,CPU_OVERLOAD
CPU saturation detected on application server,82.02,45.36,47.68,CPU_OVERLOAD
Kubernetes pod cpu throttling detected,96.66,53.62,48.27,CPU_OVERLOAD
CPU saturation detected on application server,86.57,67.76,31.92,CPU_OVERLOAD
Kubernetes pod cpu throttling detected,80.28,68.12,30.98,CPU_OVERLOAD
CPU usage reached 95 percent due to heavy workload,85.8,47.25,26.11,CPU_OVERLOAD
High computational workload causing cpu spike,82.59,47.62,31.51,CPU_OVERLOAD
Server cpu overloaded by parallel processing tasks,81.79,43.88,32.03,CPU_OVERLOAD
Kubernetes pod cpu throttling detected,94.56,35.23,55.87,CPU_OVERLOAD
Server cpu overloaded by parallel processing tasks,92.43,40.85,44.23,CPU_OVERLOAD
High computational workload causing cpu spike,96.46,33.98,47.92,CPU_OVERLOAD
CPU saturation detected on application server,98.56,41.18,23.31,CPU_OVERLOAD
Server cpu overloaded by parallel processing tasks,91.71,54.51,44.86,CPU_OVERLOAD
Kubernetes pod cpu throttling detected,89.49,39.41,37.43,CPU_OVERLOAD
Kubernetes pod cpu throttling detected,80.35,62.5,35.79,CPU_OVERLOAD
CPU usage reached 95 percent due to heavy workload,86.06,40.65,51.86,CPU_OVERLOAD
CPU usage reached 95 percent due to heavy workload,96.78,47.16,31.9,CPU_OVERLOAD
Kubernetes pod cpu throttling detected,97.67,44.22,32.59,CPU_OVERLOAD
CPU usage reached 95 percent due to heavy workload,98.02,59.29,30.57,CPU_OVERLOAD
CPU usage reached 95 percent due to heavy workload,80.32,69.56,51.82,CPU_OVERLOAD
CPU usage reached 95 percent due to heavy workload,81.75,61.66,33.5,CPU_OVERLOAD
Kubernetes pod cpu throttling detected,84.83,64.47,59.1,CPU_OVERLOAD
Kubernetes pod cpu throttling detected,87.4,65.79,57.33,CPU_OVERLOAD
CPU saturation detected on application server,84.93,53.72,46.08,CPU_OVERLOAD
CPU usage reached 95 percent due to heavy workload,82.57,39.15,25.88,CPU_OVERLOAD
High computational workload causing cpu spike,98.07,33.17,27.56,CPU_OVERLOAD
High computational workload causing cpu spike,90.57,53.97,37.55,CPU_OVERLOAD
CPU saturation detected on application server,91.85,60.58,57.18,CPU_OVERLOAD
Kubernetes pod cpu throttling detected,97.45,33.76,25.45,CPU_OVERLOAD
CPU usage reached 95 percent due to heavy workload,90.34,64.46,57.82,CPU_OVERLOAD
CPU saturation detected on application server,90.97,58.34,21.3,CPU_OVERLOAD
High computational workload causing cpu spike,89.47,30.83,27.53,CPU_OVERLOAD
CPU usage reached 95 percent due to heavy workload,93.25,51.19,51.5,CPU_OVERLOAD
Server cpu overloaded by parallel processing tasks,93.32,68.85,25.3,CPU_OVERLOAD
Kubernetes pod cpu throttling detected,97.49,38.63,43.54,CPU_OVERLOAD
Server cpu overloaded by parallel processing tasks,82.6,39.78,38.99,CPU_OVERLOAD
Server cpu overloaded by parallel processing tasks,86.43,50.17,47.06,CPU_OVERLOAD
CPU saturation detected on application server,91.64,42.94,30.86,CPU_OVERLOAD
CPU saturation detected on application server,92.66,37.53,56.45,CPU_OVERLOAD
Server cpu overloaded by parallel processing tasks,88.62,53.57,26.51,CPU_OVERLOAD
CPU usage reached 95 percent due to heavy workload,89.21,42.75,51.89,CPU_OVERLOAD
Server cpu overloaded by parallel processing tasks,93.82,50.25,48.42,CPU_OVERLOAD
Kubernetes pod cpu throttling detected,89.56,38.94,58.11,CPU_OVERLOAD
Kubernetes pod cpu throttling detected,96.18,56.66,53.5,CPU_OVERLOAD
High computational workload causing cpu spike,85.51,66.13,53.24,CPU_OVERLOAD
High computational workload causing cpu spike,93.39,38.93,20.38,CPU_OVERLOAD
CPU usage reached 95 percent due to heavy workload,97.42,32.28,59.9,CPU_OVERLOAD
High computational workload causing cpu spike,85.2,56.11,41.48,CPU_OVERLOAD
Kubernetes pod cpu throttling detected,93.6,54.35,45.93,CPU_OVERLOAD
Kubernetes pod cpu throttling detected,86.67,66.66,35.06,CPU_OVERLOAD
Server cpu overloaded by parallel processing tasks,94.42,34.09,50.24,CPU_OVERLOAD
CPU saturation detected on application server,81.68,48.71,41.35,CPU_OVERLOAD
Kubernetes pod cpu throttling detected,91.89,67.68,57.58,CPU_OVERLOAD
High computational workload causing cpu spike,84.79,66.49,47.62,CPU_OVERLOAD
High computational workload causing cpu spike,95.19,36.65,58.67,CPU_OVERLOAD
