Starting watcher...
EVENT: add /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
EVENT: change /Users/jesbelmr/Desktop/project-test/logs/test-website.log
